pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-1224,Kepler-1224 b,Transit,13.32351601,578,1.18,1.22,1.33,0.16362,2454967.03469,Kepler
Kepler-1626,Kepler-1626 b,Transit,4.13962966,1718,1.51,1.85,2.02,0.13683,2454967.04165,Kepler
Kepler-436,Kepler-436 c,Transit,16.79713874,618,0.73,0.7,2.33,0.13492,2454967.04221,Kepler
Kepler-1009,Kepler-1009 b,Transit,11.35011917,281,0.59,0.57,2.17,0.098992,2454967.04543,Kepler
Kepler-1201,Kepler-1201 b,Transit,15.18725932,1202,1.15,1.24,2.29,0.18783,2454967.05581,Kepler
Kepler-828,Kepler-828 b,Transit,0.56785714,625,0.81,0.77,1.51,0.041121,2454967.062486,Kepler
Kepler-825,Kepler-825 b,Transit,3.77360059,820,1.03,1.08,1.53,0.111892,2454967.06939,Kepler
Kepler-446,Kepler-446 c,Transit,3.036179,120,0.22,0.24,1.11,0.0393,2454967.069573,Kepler
Kepler-1171,Kepler-1171 b,Transit,1.44259224,615,1.58,1.95,2.56,0.125629,2454967.0722,Kepler
Kepler-882,Kepler-882 b,Transit,3.98953967,525,0.9,0.87,1.23,0.064179,2454967.0998,Kepler
Kepler-1104,Kepler-1104 b,Transit,5.03728015,516,1.3,1.41,1.23,0.078533,2454967.1094,Kepler
Kepler-791,Kepler-791 b,Transit,14.5539759,1447,1.3,1.47,3.05,0.26058,2454967.11314,Kepler
Kepler-1324,Kepler-1324 b,Transit,4.11584468,522,0.78,0.73,1.51,0.05771,2454967.11946,Kepler
Kepler-1642,Kepler-1642 b,Transit,12.2057513,447,0.88,0.84,3.2,0.10225,2454967.1296,Kepler
Kepler-1477,Kepler-1477 b,Transit,11.55530021,525,0.81,0.78,1.18,0.11662,2454967.13083,Kepler
Kepler-1093,Kepler-1093 b,Transit,25.0824626,848,1.13,1.2,1.95,0.26488,2454967.13343,Kepler
Kepler-974,Kepler-974 b,Transit,4.19449651,121,0.52,0.5,1.57,0.077008,2454967.13429,Kepler
Kepler-1420,Kepler-1420 b,Transit,6.69960006,923,0.82,0.79,1.28,0.11267,2454967.14722,Kepler
Kepler-1130,Kepler-1130 b,Transit,5.45298175,234,0.9,0.81,0.8,0.087713,2454967.15102,Kepler
Kepler-1598,Kepler-1598 b,Transit,4.34195123,734,1.07,1.09,0.95,0.11233,2454967.18495,Kepler
