pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
Kepler-833,Kepler-833 b,Transit,18.7546998,421,0.64,0.62,2.02,0.127837,2454974.71563,Kepler
Kepler-1507,Kepler-1507 b,Transit,16.0506213,342,0.89,0.85,0.84,0.12246,2454974.73323,Kepler
Kepler-774,Kepler-774 b,Transit,11.0895723,1190,1.57,2.42,3.17,0.264217,2454974.76206,Kepler
Kepler-1404,Kepler-1404 b,Transit,15.9314739,946,0.84,0.8,2.01,0.1129,2454974.81135,Kepler
Kepler-1413,Kepler-1413 b,Transit,13.1829642,1162,0.84,0.8,1.82,0.1515,2454974.82502,Kepler
Kepler-32,Kepler-32 b,Transit,5.90124,303,0.58,0.53,2.2,0.088,2454974.902,Kepler
Kepler-1327,Kepler-1327 b,Transit,14.88801098,688,1.02,1.03,1.8,0.21092,2454974.93758,Kepler
Kepler-1079,Kepler-1079 b,Transit,13.24503188,481,1.08,1.36,1.63,0.18196,2454975.00653,Kepler
Kepler-1221,Kepler-1221 b,Transit,12.00096042,909,0.87,0.82,1.88,0.14304,2454975.04145,Kepler
Kepler-1041,Kepler-1041 b,Transit,24.7576421,979,1.06,1.08,2.94,0.30671,2454975.06892,Kepler
Kepler-902,Kepler-902 b,Transit,40.1099547,904,0.95,0.93,2.54,0.215983,2454975.07826,Kepler
Kepler-492,Kepler-492 b,Transit,11.72012266,642,0.94,0.91,9.59,0.124854,2454975.174098,Kepler
Kepler-964,Kepler-964 b,Transit,13.5225106,478,0.93,0.84,2.12,0.162213,2454975.18129,Kepler
Kepler-967,Kepler-967 b,Transit,13.22713379,499,0.84,0.8,2.35,0.1372,2454975.20334,Kepler
Kepler-476,Kepler-476 b,Transit,14.00640607,687,1.03,1.09,3.08,0.195038,2454975.209317,Kepler
Kepler-800,Kepler-800 b,Transit,14.13176026,1049,0.85,0.82,2.85,0.16058,2454975.26113,Kepler
Kepler-859,Kepler-859 b,Transit,20.38177573,915,0.81,0.77,3.09,0.155954,2454975.31445,Kepler
Kepler-790,Kepler-790 b,Transit,13.73469807,727,0.84,0.8,2.18,0.098225,2454975.33085,Kepler
Kepler-1299,Kepler-1299 b,Transit,19.9400874,1352,0.94,0.91,2.98,0.17763,2454975.34994,Kepler
Kepler-749,Kepler-749 b,Transit,17.31716585,753,0.79,0.75,3.1,0.131662,2454975.35779,Kepler
Kepler-1336,Kepler-1336 b,Transit,23.198681,822,0.94,1.3,1.98,0.40537,2454975.6202,Kepler
Kepler-28,Kepler-28 b,Transit,5.9123,472,0.75,0.7,3.6,0.1154,2454975.6227,Kepler
Kepler-289,Kepler-289 d,Transit,66.0634,700,1.08,1,2.68,0.1482,2454975.6436,Kepler
Kepler-1608,Kepler-1608 b,Transit,16.4735686,832,0.75,0.72,1.73,0.17629,2454975.68505,Kepler
Kepler-1364,Kepler-1364 b,Transit,13.32196237,1149,1.49,1.79,2.15,0.2596,2454975.72146,Kepler
Kepler-933,Kepler-933 b,Transit,14.20443009,922,0.87,0.84,2.46,0.16579,2454975.73343,Kepler
Kepler-1285,Kepler-1285 b,Transit,14.7967458,364,1.2,1.28,0.97,0.23492,2454975.73773,Kepler
Kepler-1417,Kepler-1417 b,Transit,20.3505213,656,1.02,1.02,1,0.30483,2454975.7564,Kepler
KIC 9663113,Kepler-458 c,Transit,20.74028413,1594.34,0.98,1.03,4.2,0.432721,2454975.79944,Kepler
Kepler-759,Kepler-759 b,Transit,41.805985,892,1.04,1.04,2.27,0.2555,2454975.81859,Kepler
Kepler-1383,Kepler-1383 b,Transit,13.9093583,961,1.26,1.44,1.41,0.27633,2454975.8819,Kepler
Kepler-1142,Kepler-1142 b,Transit,18.3027248,697,0.97,0.96,1.47,0.34017,2454975.89236,Kepler
Kepler-784,Kepler-784 b,Transit,31.5922646,604,1,1.32,1.58,0.5767,2454975.9664,Kepler
Kepler-939,Kepler-939 b,Transit,14.878296,1029,0.88,0.85,1.75,0.31267,2454975.96864,Kepler
Kepler-892,Kepler-892 b,Transit,13.7521072,640,0.75,0.72,2.81,0.1126,2454976.03124,Kepler
Kepler-1276,Kepler-1276 b,Transit,12.5720095,587,1.14,1.21,1.19,0.19654,2454976.08176,Kepler
Kepler-1509,Kepler-1509 b,Transit,25.4338197,1277,1,0.99,1.85,0.26767,2454976.1287,Kepler
Kepler-970,Kepler-970 b,Transit,16.73652231,350,0.7,0.67,2.77,0.083112,2454976.13242,Kepler
Kepler-1158,Kepler-1158 b,Transit,13.5396293,1258,1.41,1.95,2.34,0.18075,2454976.15164,Kepler
Kepler-1013,Kepler-1013 b,Transit,18.93054959,433,0.81,0.76,2.15,0.13933,2454976.25236,Kepler
Kepler-1369,Kepler-1369 b,Transit,25.873148,1236,0.99,0.99,2.69,0.22712,2454976.27938,Kepler
Kepler-945,Kepler-945 b,Transit,31.0033814,1543,0.97,0.97,2.63,0.21683,2454976.28914,Kepler
Kepler-977,Kepler-977 b,Transit,26.85328322,664,0.87,0.83,2.62,0.187763,2454976.31116,Kepler
Kepler-610,Kepler-610 c,Transit,151.86392,1113,1.1,1.13,3.3,0.35925,2454976.31517,Kepler
Kepler-1186,Kepler-1186 b,Transit,16.07677615,1112,0.95,0.93,2.23,0.09321,2454976.38764,Kepler
Kepler-1050,Kepler-1050 b,Transit,15.3787546,555,1.09,1.13,1.6,0.18221,2454976.41074,Kepler
Kepler-1166,Kepler-1166 b,Transit,33.2406882,648,0.9,0.86,1.69,0.20758,2454976.46245,Kepler
Kepler-1511,Kepler-1511 b,Transit,23.2382792,897,1.17,1.29,1.68,0.34129,2454976.54141,Kepler
Kepler-33,Kepler-33 c,Transit,13.17562,1113,1.29,1.82,3.2,0.2792,2454976.6764,Kepler
Kepler-1209,Kepler-1209 b,Transit,25.369116,558,1.23,1.38,1.51,0.19308,2454976.68738,Kepler
Kepler-1493,Kepler-1493 b,Transit,15.0217983,572,1.06,1.29,1.41,0.18988,2454976.70194,Kepler
Kepler-1482,Kepler-1482 b,Transit,12.25383217,442,0.88,0.84,1.01,0.09221,2454976.70311,Kepler
Kepler-1392,Kepler-1392 b,Transit,15.1410397,1117,0.88,0.85,1.96,0.17817,2454976.73863,Kepler
Kepler-1304,Kepler-1304 b,Transit,16.1288853,682,0.85,0.81,2.29,0.24742,2454976.7543,Kepler
Kepler-1457,Kepler-1457 b,Transit,51.1110243,728,1.01,1.01,1.99,0.33279,2454976.77173,Kepler
Kepler-1309,Kepler-1309 b,Transit,28.8432647,845,0.85,0.8,2.37,0.129,2454976.82205,Kepler
Kepler-1187,Kepler-1187 b,Transit,18.87064068,1029,1.06,1.09,2.61,0.135317,2454976.95521,Kepler
Kepler-647,Kepler-647 b,Transit,16.2254649,789,1.03,1.07,1.17,0.27054,2454977.02782,Kepler
Kepler-952,Kepler-952 b,Transit,130.3546919,1167,1,0.99,7.65,0.26592,2454977.06014,Kepler
Kepler-1267,Kepler-1267 b,Transit,13.0313945,1628,1.15,1.2,3.01,0.17717,2454977.11387,Kepler
Kepler-1121,Kepler-1121 b,Transit,13.15141081,529,1.29,1.59,1.91,0.233479,2454977.16108,Kepler
Kepler-1115,Kepler-1115 b,Transit,23.5540725,935,1.6,1.73,1.7,0.29829,2454977.21245,Kepler
Kepler-992,Kepler-992 b,Transit,20.16034462,268,0.8,0.74,1.62,0.159229,2454977.3439,Kepler
Kepler-32,Kepler-32 c,Transit,8.7522,303,0.58,0.53,2,0.097,2454977.378,Kepler
Kepler-942,Kepler-942 b,Transit,44.96417488,218,0.81,0.75,2.13,0.21005,2454977.55876,Kepler
Kepler-1300,Kepler-1300 b,Transit,22.2419092,757,1.29,1.79,1.37,0.30229,2454977.72514,Kepler
Kepler-1470,Kepler-1470 b,Transit,16.2950903,569,0.8,0.76,1.07,0.15183,2454977.80456,Kepler
Kepler-482,Kepler-482 b,Transit,56.35418576,290,0.75,0.72,2.36,0.1371,2454977.83637,Kepler
Kepler-765,Kepler-765 b,Transit,27.6655226,1000,1.05,1.06,2.43,0.27117,2454977.86426,Kepler
Kepler-1480,Kepler-1480 b,Transit,22.12679948,540,0.85,0.81,1.67,0.15358,2454977.93506,Kepler
Kepler-473,Kepler-473 b,Transit,14.55731705,641,1.06,1.34,4.08,0.32385,2454978.094662,Kepler
Kepler-1307,Kepler-1307 b,Transit,18.01621096,1396,1.06,1.08,2.47,0.1665,2454978.23823,Kepler
Kepler-1469,Kepler-1469 b,Transit,21.8635301,1255,0.92,0.89,2.8,0.14925,2454978.23999,Kepler
Kepler-947,Kepler-947 b,Transit,26.9644317,1188,0.9,0.87,2.28,0.16454,2454978.34343,Kepler
Kepler-1279,Kepler-1279 b,Transit,23.4774101,1017,1.21,1.33,1.75,0.30296,2454978.35073,Kepler
Kepler-1348,Kepler-1348 b,Transit,27.5722742,1033,1.04,1.04,1.94,0.2205,2454978.39277,Kepler
Kepler-1384,Kepler-1384 b,Transit,15.36262753,618,0.78,0.74,1.94,0.15238,2454978.57227,Kepler
Kepler-1088,Kepler-1088 b,Transit,23.12748644,300,1.08,1.08,1.42,0.20513,2454978.65956,Kepler
Kepler-1068,Kepler-1068 b,Transit,16.92344113,1532,1.01,1.01,3.63,0.169242,2454978.81211,Kepler
Kepler-117,Kepler-117 b,Transit,18.7959228,1430,1.13,1.61,8.059,0.3024,2454978.82204,Kepler
Kepler-811,Kepler-811 b,Transit,23.58447697,847,1.01,1.24,2.7,0.22767,2454978.95746,Kepler
Kepler-1334,Kepler-1334 b,Transit,15.64591713,1047,0.94,0.91,2.29,0.16717,2454979.04844,Kepler
Kepler-1615,Kepler-1615 b,Transit,47.3126192,940,1.04,1.05,2.06,0.44383,2454979.3247,Kepler
Kepler-1628,Kepler-1628 b,Transit,76.378033,352,0.55,0.52,6.43,0.20633,2454979.3458,Kepler
Kepler-1047,Kepler-1047 b,Transit,56.1886887,566,1.08,1.13,2.09,0.25371,2454979.38005,Kepler
Kepler-1621,Kepler-1621 b,Transit,92.263714,1461,1.15,1.24,2.16,0.41092,2454979.424,Kepler
Kepler-1423,Kepler-1423 b,Transit,23.955378,449,0.79,0.75,1.06,0.13271,2454979.66357,Kepler
Kepler-911,Kepler-911 b,Transit,20.310501,567,1.34,1.99,2.6,0.223271,2454979.82308,Kepler
Kepler-1359,Kepler-1359 b,Transit,59.4970952,669,0.78,0.72,2.83,0.23342,2454979.95047,Kepler
Kepler-1619,Kepler-1619 b,Transit,23.6225913,520,1,1,0.76,0.27267,2454979.9602,Kepler
Kepler-887,Kepler-887 b,Transit,20.42228798,831,1.19,1.29,1.84,0.258,2454979.98328,Kepler
KOI-351,KOI-351 g,Transit,210.60697,780,1.2,1.2,8.1,0.5247,2454980.0364,Kepler
Kepler-1010,Kepler-1010 b,Transit,34.2685705,610,0.86,0.82,2.32,0.200767,2454980.05222,Kepler
Kepler-1134,Kepler-1134 b,Transit,17.13263989,997,0.84,0.81,2.64,0.12725,2454980.1548,Kepler
Kepler-1249,Kepler-1249 b,Transit,24.3347127,1674,1.19,1.28,2.38,0.2762,2454980.4084,Kepler
Kepler-1184,Kepler-1184 b,Transit,53.5991044,1193,1.05,1.07,2.68,0.27758,2454980.42885,Kepler
Kepler-758,Kepler-758 d,Transit,20.4966197,1353,1.16,1.42,2.12,0.2658,2454980.4533,Kepler
Kepler-885,Kepler-885 b,Transit,18.11472949,632,1.21,1.35,2.5,0.217787,2454980.49223,Kepler
Kepler-1236,Kepler-1236 b,Transit,31.0571618,1078,0.86,0.82,2.14,0.14171,2454980.5629,Kepler
Kepler-59,Kepler-59 c,Transit,17.9801235,1021,1.04,0.94,1.98,0.1719,2454980.69818,Kepler
Kepler-1564,Kepler-1564 b,Transit,18.0540381,872,0.93,0.9,1.47,0.18371,2454980.79923,Kepler
Kepler-786,Kepler-786 b,Transit,53.5293487,512,0.81,0.74,2.43,0.23237,2454980.86415,Kepler
Kepler-486,Kepler-486 b,Transit,30.36044667,428,0.79,0.75,11,0.250804,2454981.091528,Kepler
Kepler-1140,Kepler-1140 b,Transit,24.0862707,657,0.76,0.73,2.77,0.092863,2454981.20227,Kepler
Kepler-1461,Kepler-1461 b,Transit,29.3494775,752,0.79,0.74,2.03,0.17529,2454981.46456,Kepler
Kepler-1389,Kepler-1389 b,Transit,99.2530951,521,0.81,0.74,1.77,0.25025,2454981.53529,Kepler
Kepler-1617,Kepler-1617 b,Transit,27.4785572,813,1.15,1.22,1.2,0.34604,2454981.6285,Kepler
Kepler-28,Kepler-28 c,Transit,8.9858,472,0.75,0.7,3.4,0.1829,2454981.7277,Kepler
Kepler-930,Kepler-930 b,Transit,71.4517775,905,1.25,1.4,2.13,0.251,2454981.8132,Kepler
Kepler-941,Kepler-941 b,Transit,17.42395198,1105,0.89,0.86,3.08,0.20304,2454981.82645,Kepler
Kepler-879,Kepler-879 b,Transit,33.3855938,772,1.02,1.02,2.57,0.210475,2454981.92796,Kepler
Kepler-1422,Kepler-1422 b,Transit,18.6051942,2081,1.15,1.23,2.02,0.2992,2454982.0326,Kepler
Kepler-1636,Kepler-1636 b,Transit,425.47785,1567,1.01,1.02,3.23,0.74367,2454982.0646,Kepler
Kepler-891,Kepler-891 b,Transit,53.44945593,1372,1.06,1.07,6.41,0.221783,2454982.201815,Kepler
Kepler-1050,Kepler-1050 c,Transit,21.1284569,555,1.09,1.13,1.48,0.15788,2454982.27946,Kepler
Kepler-1103,Kepler-1103 b,Transit,19.79191978,921,1.11,1.15,2.27,0.13217,2454982.30853,Kepler
Kepler-1045,Kepler-1045 b,Transit,26.41045478,971,0.86,0.82,2.69,0.12483,2454982.39497,Kepler
Kepler-1478,Kepler-1478 b,Transit,26.0840594,1405,1.04,1.06,1.73,0.28021,2454982.4478,Kepler
Kepler-770,Kepler-770 b,Transit,18.92540274,761,0.94,0.92,2.3,0.155871,2454982.49412,Kepler
Kepler-1460,Kepler-1460 b,Transit,29.9633247,574,0.7,0.67,1.96,0.10967,2454982.94193,Kepler
Kepler-1237,Kepler-1237 b,Transit,84.5733226,1121,0.94,0.9,2.86,0.23813,2454983.15332,Kepler
Kepler-838,Kepler-838 b,Transit,15.74957994,1210,0.98,0.96,2.73,0.195592,2454983.24542,Kepler
Kepler-1453,Kepler-1453 b,Transit,47.1611696,1284,0.97,0.94,2.67,0.16912,2454983.25323,Kepler
Kepler-62,Kepler-62 e,Transit,122.3874,368,0.69,0.64,1.61,0.2883,2454983.404,Kepler
Kepler-1432,Kepler-1432 b,Transit,23.9109011,1552,1.09,1.13,2.22,0.21062,2454983.5316,Kepler
Kepler-462,Kepler-462 b,Transit,84.6879808,733,1.59,2.04,3.77,0.417563,2454983.56897,Kepler
Kepler-841,Kepler-841 b,Transit,124.4198398,1052,0.85,0.81,5.23,0.15255,2454983.59602,Kepler
Kepler-1178,Kepler-1178 b,Transit,31.80634,336,0.8,0.75,1.07,0.15808,2454983.6643,Kepler
Kepler-61,Kepler-61 b,Transit,59.87756,314,0.64,0.62,2.15,0.2019,2454984.188,Kepler
Kepler-1026,Kepler-1026 b,Transit,36.5156053,389,0.79,0.75,2.21,0.1495,2454984.29218,Kepler
Kepler-1038,Kepler-1038 b,Transit,148.4603382,622,0.87,0.83,3.53,0.22508,2454984.38572,Kepler
Kepler-1069,Kepler-1069 b,Transit,23.8990296,435,0.99,0.98,1.6,0.65508,2454984.39964,Kepler
Kepler-986,Kepler-986 b,Transit,56.4349938,563,0.96,0.98,2.36,0.195954,2454984.41171,Kepler
Kepler-903,Kepler-903 c,Transit,62.9228557,829,0.98,0.97,2.53,0.47075,2454984.68077,Kepler
Kepler-874,Kepler-874 b,Transit,40.0686727,1072,1.09,1.13,3.94,0.253396,2454984.80829,Kepler
Kepler-875,Kepler-875 b,Transit,27.5073799,1244,1.06,1.11,2.9,0.21829,2454984.83875,Kepler
Kepler-468,Kepler-468 b,Transit,38.47875707,474,0.96,0.87,13.34,0.2107687,2454984.853006,Kepler
Kepler-827,Kepler-827 b,Transit,51.92927591,1352,0.93,0.91,5.63,0.221179,2454984.93175,Kepler
Kepler-1510,Kepler-1510 b,Transit,84.703921,1615,1.19,1.28,3.36,0.43529,2454985.1859,Kepler
Kepler-1025,Kepler-1025 b,Transit,37.3229493,716,1.09,1.13,1.98,0.292529,2454985.83536,Kepler
Kepler-1641,Kepler-1641 c,Transit,32.657212,961,1.12,1.19,2.95,0.24925,2454985.875,Kepler
Kepler-1277,Kepler-1277 b,Transit,40.8365012,606,0.94,0.92,1.6,0.206,2454985.8751,Kepler
Kepler-1463,Kepler-1463 b,Transit,25.15864,1341,0.96,0.95,1.86,0.2158,2454986.0506,Kepler
Kepler-983,Kepler-983 b,Transit,60.0855082,655,1.13,1.08,2.36,0.28871,2454986.25486,Kepler
Kepler-27,Kepler-27 c,Transit,31.3309,1140,0.65,0.59,4.9,0.1979,2454986.4274,Kepler
Kepler-921,Kepler-921 b,Transit,51.300634,847,0.93,0.91,2.87,0.29113,2454986.53646,Kepler
Kepler-1502,Kepler-1502 b,Transit,41.7083629,1540,1.44,1.72,3.18,0.35004,2454986.53949,Kepler
Kepler-819,Kepler-819 b,Transit,33.1995648,722,0.86,0.81,2.76,0.208896,2454986.66308,Kepler
Kepler-549,Kepler-549 b,Transit,42.9495649,648,0.88,0.84,2.57,0.222787,2454986.73762,Kepler
Kepler-1354,Kepler-1354 b,Transit,76.613377,1057,1.16,1.24,2.97,0.40675,2454986.7999,Kepler
Kepler-1535,Kepler-1535 b,Transit,138.9442,879,1.08,1.11,2.55,0.43567,2454986.90997,Kepler
Kepler-1172,Kepler-1172 b,Transit,26.0204423,1292,0.92,0.89,3.2,0.2017,2454987.52468,Kepler
Kepler-1266,Kepler-1266 b,Transit,28.474748,901,0.8,0.76,2.58,0.20037,2454987.58191,Kepler
Kepler-1440,Kepler-1440 b,Transit,39.859484,685,0.98,0.96,1.26,0.3358,2454987.7608,Kepler
Kepler-32,Kepler-32 d,Transit,22.7802,303,0.58,0.53,2.7,0.124,2454988.211,Kepler
Kepler-1122,Kepler-1122 b,Transit,42.1917357,924,0.92,0.89,2.04,0.29617,2454988.31547,Kepler
Kepler-1083,Kepler-1083 b,Transit,33.4177993,912,0.81,0.77,3.36,0.18954,2454988.58942,Kepler
Kepler-938,Kepler-938 b,Transit,52.6298417,861,0.92,0.89,2.22,0.2485,2454988.61153,Kepler
Kepler-878,Kepler-878 b,Transit,25.9422033,567,0.81,0.77,1.93,0.168508,2454989.18603,Kepler
Kepler-890,Kepler-890 b,Transit,52.75875577,1387,1.09,1.13,8.89,0.275283,2454989.30675,Kepler
Kepler-967,Kepler-967 c,Transit,198.7112502,499,0.84,0.8,3.65,0.355725,2454989.51739,Kepler
Kepler-1455,Kepler-1455 b,Transit,49.276764,392,0.62,0.6,2.16,0.154,2454990.02543,Kepler
Kepler-1097,Kepler-1097 b,Transit,187.747029,738,0.82,0.79,3.26,0.22533,2454990.35773,Kepler
Kepler-1118,Kepler-1118 b,Transit,38.6715075,818,0.96,0.97,2.74,0.23196,2454990.62071,Kepler
Kepler-1273,Kepler-1273 b,Transit,28.625653,1355,0.94,0.91,2.49,0.19171,2454991.11317,Kepler
Kepler-1043,Kepler-1043 b,Transit,38.5053398,838,0.92,0.9,2.55,0.24887,2454991.30219,Kepler
Kepler-27,Kepler-27 b,Transit,15.3348,1140,0.65,0.59,4,0.1446,2454991.6726,Kepler
Kepler-1388,Kepler-1388 e,Transit,37.6327084,492,0.63,0.61,2.46,0.18946,2454991.8322,Kepler
KOI-351,KOI-351 d,Transit,59.73667,780,1.2,1.2,2.87,0.35,2454991.9656,Kepler
Kepler-1504,Kepler-1504 b,Transit,82.304003,1029,0.85,0.81,2.13,0.57679,2454992.038,Kepler
Kepler-1466,Kepler-1466 b,Transit,31.1750448,686,1.01,1.02,1.55,0.16533,2454992.09527,Kepler
Kepler-1444,Kepler-1444 b,Transit,33.42035034,340,1.03,1.05,2.18,0.212129,2454992.13723,Kepler
Kepler-31,Kepler-31 b,Transit,20.8613,2100,1.21,1.22,5.5,0.208,2454992.141,Kepler
Kepler-1080,Kepler-1080 b,Transit,77.2548396,688,1.1,1.16,3.28,0.42892,2454992.32241,Kepler
Kepler-1472,Kepler-1472 b,Transit,38.1312831,1269,1.16,1.25,1.9,0.26437,2454992.3666,Kepler
Kepler-1202,Kepler-1202 b,Transit,28.6851324,1393,1.03,1.04,2.94,0.22779,2454992.87673,Kepler
Kepler-943,Kepler-943 b,Transit,49.7701438,1239,0.93,0.91,5.93,0.42021,2454992.98572,Kepler
Kepler-1325,Kepler-1325 b,Transit,33.8786838,955,0.93,0.91,2.86,0.24213,2454993.21784,Kepler
Kepler-1253,Kepler-1253 b,Transit,68.8861915,390,0.97,1.1,1.33,0.2479,2454993.29804,Kepler
Kepler-1447,Kepler-1447 b,Transit,56.6747285,871,0.97,0.95,2.9,0.22592,2454993.45007,Kepler
Kepler-1458,Kepler-1458 b,Transit,47.9872764,642,0.96,0.94,2.76,0.19817,2454993.65081,Kepler
Kepler-1442,Kepler-1442 b,Transit,81.4162941,525,1.34,1.44,3.93,0.506017,2454993.86266,Kepler
Kepler-857,Kepler-857 b,Transit,85.35129427,1039,0.99,0.99,6.8,0.281533,2454994.009326,Kepler
Kepler-1467,Kepler-1467 b,Transit,47.0569043,890,0.86,0.82,3.3,0.219675,2454994.0591,Kepler
Kepler-1023,Kepler-1023 b,Transit,62.1387714,686,0.93,0.89,2.63,0.173242,2454994.1476,Kepler
Kepler-1109,Kepler-1109 b,Transit,37.6467384,797,1.05,1.06,2.19,0.25488,2454994.4638,Kepler
Kepler-1605,Kepler-1605 b,Transit,85.7565495,224,0.86,0.82,1.08,0.24175,2454995.71867,Kepler
Kepler-805,Kepler-805 b,Transit,30.8638931,657,1.19,1.65,2.89,0.35087,2454995.883,Kepler
Kepler-1269,Kepler-1269 b,Transit,37.3331536,710,1.1,1.15,1.63,0.30392,2454995.90448,Kepler
Kepler-1093,Kepler-1093 c,Transit,89.722292,848,1.13,1.2,1.96,0.44492,2454996.1587,Kepler
Kepler-1499,Kepler-1499 b,Transit,44.2008,310,0.82,0.78,1.19,0.19492,2454996.2248,Kepler
Kepler-1162,Kepler-1162 b,Transit,32.5637069,989,0.89,0.84,2.21,0.23117,2454996.45606,Kepler
Kepler-1490,Kepler-1490 b,Transit,92.4362973,968,0.9,0.87,3.04,0.23787,2454996.5883,Kepler
Kepler-53,Kepler-53 c,Transit,38.5583038,1235,0.98,0.89,3.17,0.209,2454996.84816,Kepler
Kepler-1052,Kepler-1052 b,Transit,34.8538276,1051,1.03,1.03,2.93,0.223238,2454997.04437,Kepler
Kepler-487,Kepler-487 c,Transit,38.6519976,835,0.91,0.88,2.68,0.264,2454997.04919,Kepler
Kepler-1129,Kepler-1129 c,Transit,76.5369586,1258,1,1,2.73,0.23721,2454997.15492,Kepler
Kepler-1345,Kepler-1345 b,Transit,44.6169557,1164,1.32,1.55,2.36,0.318,2454997.44482,Kepler
Kepler-1233,Kepler-1233 b,Transit,45.1263042,1281,1.16,1.25,2.6,0.27629,2454998.4167,Kepler
Kepler-1036,Kepler-1036 b,Transit,122.8808058,507,0.95,0.89,3.01,0.34504,2454998.45701,Kepler
Kepler-1567,Kepler-1567 b,Transit,153.979578,1226,0.95,0.93,2.73,0.37475,2454998.4896,Kepler
Kepler-1638,Kepler-1638 b,Transit,259.33683,879,0.97,0.95,1.87,0.66579,2454998.6905,Kepler
Kepler-1459,Kepler-1459 b,Transit,62.8691611,435,0.78,0.74,1.36,0.24075,2454999.0209,Kepler
Kepler-1227,Kepler-1227 b,Transit,94.2887577,667,0.97,0.95,2.29,0.17267,2454999.51295,Kepler
Kepler-1488,Kepler-1488 b,Transit,39.8189932,618,1.05,1.31,1.86,0.44992,2454999.64673,Kepler
Kepler-803,Kepler-803 b,Transit,50.28638192,615,1.05,1.12,3.79,0.265283,2455000.63242,Kepler
Kepler-1539,Kepler-1539 b,Transit,133.3036741,788,0.84,0.8,2.7,0.309,2455000.7559,Kepler
Kepler-1360,Kepler-1360 b,Transit,40.5286413,1405,1.51,1.83,3.4,0.43858,2455001.02881,Kepler
Kepler-1316,Kepler-1316 b,Transit,87.9732136,753,1.04,1.12,3.54,0.6121,2455001.28919,Kepler
Kepler-1113,Kepler-1113 b,Transit,42.3004954,1127,1.12,1.17,2.81,0.18325,2455001.77877,Kepler
Kepler-1168,Kepler-1168 b,Transit,55.8226539,911,0.87,0.82,2.5,0.22888,2455002.03641,Kepler
Kepler-1441,Kepler-1441 b,Transit,39.4419839,751,1,1,1.31,0.30354,2455002.1367,Kepler
Kepler-573,Kepler-573 b,Transit,22.18329658,758,0.99,1.02,2.79,0.210858,2455002.49687,Kepler
Kepler-734,Kepler-734 b,Transit,6.10485286,553,0.85,0.78,3.56,0.19483,2455002.573341,Kepler
Kepler-906,Kepler-906 b,Transit,41.6979976,758,1.06,1.02,2.11,0.236475,2455002.57636,Kepler
Kepler-601,Kepler-601 b,Transit,5.37886844,429,0.85,0.79,1.9,0.113142,2455002.61518,Kepler
Kepler-723,Kepler-723 b,Transit,4.08227507,965,0.92,0.89,12.19,0.134915,2455002.637529,Kepler
Kepler-605,Kepler-605 b,Transit,3.38353807,570,0.91,0.88,1.44,0.059854,2455002.63954,Kepler
Kepler-567,Kepler-567 b,Transit,16.54297375,568,0.84,0.79,2.25,0.161354,2455002.64888,Kepler
Kepler-683,Kepler-683 b,Transit,2.53918318,976,0.96,0.95,1.97,0.09929,2455002.67414,Kepler
Kepler-621,Kepler-621 b,Transit,2.62811375,389,0.72,0.68,2.3,0.077283,2455002.719741,Kepler
Kepler-507,Kepler-507 b,Transit,3.56809693,410,1.16,1.32,1.3,0.135229,2455002.74358,Kepler
Kepler-669,Kepler-669 b,Transit,4.12554687,1778,1.15,1.2,4.83,0.130788,2455002.751997,Kepler
Kepler-578,Kepler-578 b,Transit,1.6168837,568,0.87,0.83,2,0.066021,2455002.803484,Kepler
Kepler-658,Kepler-658 b,Transit,1.28707676,341,0.63,0.6,1.63,0.062858,2455002.815442,Kepler
Kepler-527,Kepler-527 b,Transit,13.28535633,901,1.28,1.45,2.84,0.257504,2455002.8621,Kepler
Kepler-523,Kepler-523 b,Transit,5.83598311,270,0.93,0.86,1.96,0.085837,2455002.875149,Kepler
Kepler-608,Kepler-608 b,Transit,6.41251504,926,1,1.01,3.64,0.221196,2455002.87959,Kepler
Kepler-718,Kepler-718 b,Transit,2.0523499,1520,1.18,1.3,16.56,0.086671,2455002.890629,Kepler
Kepler-802,Kepler-802 b,Transit,40.0587473,828,0.93,0.9,3.54,0.23054,2455002.91131,Kepler
Kepler-557,Kepler-557 b,Transit,3.70598955,1126,1.11,1.16,2.67,0.212663,2455002.94342,Kepler
Kepler-695,Kepler-695 b,Transit,3.04033042,620,0.84,0.8,9.21,0.076642,2455002.949006,Kepler
Kepler-703,Kepler-703 b,Transit,4.58352176,1482,1.18,1.27,8.2,0.11312,2455002.973823,Kepler
Kepler-678,Kepler-678 b,Transit,7.27503724,875,0.94,0.91,5.14,0.313358,2455002.994868,Kepler
Kepler-434,Kepler-434 b,Transit,12.8747099,1240,1.2,1.38,12.67,0.0953,2455003.02283,Kepler
Kepler-428,Kepler-428 b,Transit,3.52563254,720,0.87,0.8,12.11,0.1089,2455003.048008,Kepler
Kepler-584,Kepler-584 b,Transit,35.1810304,1445,1.17,1.24,4.21,0.30721,2455003.09976,Kepler
Kepler-529,Kepler-529 b,Transit,1.98035766,787,1.07,1.14,1.86,0.101383,2455003.139026,Kepler
Kepler-1496,Kepler-1496 b,Transit,64.6588017,1293,1.18,1.27,2.22,0.31454,2455003.17832,Kepler
Kepler-645,Kepler-645 b,Transit,3.27582262,901,1.13,1.21,2.1,0.123838,2455003.25268,Kepler
